bps_used variant success reddening_law t0 e_t0 x0_mag e_x0_mag x1 e_x1 c e_c rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c  True F99 59844.53674348562 0.8190755096444392 8.166393835847039 1.0046771657035152 -0.007707003661173105 1.58364199477779 0.3683447933375052 1.4145622349292728 0.388 0.368 0.927 0.938
c-o  True F19 59844.739160346086 0.2322855169630469 6.89810523852297 0.0429088197597386 0.2029098993863549 0.2644223467906173 -0.03757583005166122 0.03957480342537975 3.521 1.526 0.0 0.009
c-o  True F99 59844.71967586056 0.21142516670597467 7.853379309415537 0.037773006570496155 0.20941341199534463 0.25056640939226027 -0.09298905174611802 0.036298589420870726 0.476 0.468 1.0 1.0
c-o-ztfg  True F19 59844.9144132802 0.1866707334795578 6.860048108116805 0.02540965485946165 0.525731294122376 0.19115017547644414 -0.07961811098548854 0.02728036418255113 4.228 1.813 0.0 0.0
c-o-ztfg  True F99 59844.970757221505 0.17308784436348382 7.821555371508348 0.022876269983178103 0.6128919392778738 0.18173197776368707 -0.13431187653313448 0.025256942218764997 0.505 0.457 1.0 1.0
c-o-ztfg-ztfr  True F19 59845.00572348409 0.1630085058284547 6.865009845567165 0.0242856221457901 0.4773256305303895 0.14886520461306943 -0.06594284085630078 0.022902477124779008 4.159 1.742 0.0 0.0
c-o-ztfg-ztfr  True F99 59845.079341229786 0.1420671475827322 7.820443250301155 0.021911694144254652 0.4745820042481773 0.13457596751202586 -0.12590576103276654 0.02120032047327106 0.487 0.439 1.0 1.0
c-o-ztfr  True F19 59844.91990381321 0.1934340959039665 6.9100321890218055 0.0415983479370168 0.3364999155329649 0.17669815632487676 -0.025454686562065572 0.03520867582257785 3.646 1.528 0.0 0.003
c-o-ztfr  True F99 59844.92717774739 0.16618268567123867 7.861005074912237 0.03672230214986671 0.2732716236632974 0.1578146695268253 -0.08485207593462345 0.032131490859090193 0.466 0.452 1.0 1.0
c-ztfg  True F99 59845.10853845469 0.24949810953391707 7.799568023690867 0.03385986480684481 0.8109390086239514 0.24673596622551772 -0.21659922625398864 0.06827459611128346 0.194 0.185 1.0 1.0
c-ztfg-ztfr  True F19 59845.029613591345 0.24082521205095334 6.872622234023387 0.026166097963920425 0.5858208384298834 0.18922413398032234 -0.06250866454510762 0.029016546445519865 6.653 2.633 0.0 0.0
c-ztfg-ztfr  True F99 59845.13396094662 0.21782699538737985 7.825748170373762 0.02326703428740874 0.5946958318005839 0.17311957102598408 -0.12817712375038437 0.02652494032273095 0.361 0.286 1.0 1.0
c-ztfr  True F99 59845.11396243701 0.22732264448531114 7.870393907118246 0.04101512916701734 0.3332443976475582 0.18864284847311566 -0.07793124250143119 0.04149152178114796 0.347 0.332 0.999 0.999
J-c-o-ztfg-ztfr 1D3 True F19 59844.9892755812 0.16216242238489653 6.8710084696021205 0.0240015103239367 0.47245122106810905 0.14847990402637068 -0.057788318528893726 0.022210707747272372 4.037 1.72 0.0 0.0
o  True F99 59844.37842996087 0.32295353404264754 6.050040533986149 1.4729724196985465 0.4447034826454608 0.4272316151027102 -1.3798875875149765 1.103440924314318 0.454 0.449 0.999 0.999
o-ztfg  True F99 59844.99899151914 0.1898092065699881 7.801499839132569 0.02727159504153519 0.5711567749874538 0.19570065049257618 -0.13933494372310692 0.02545664046963916 0.466 0.459 1.0 1.0
o-ztfg-ztfr  True F19 59845.03585505323 0.17469160055948074 6.841713261387406 0.028609064209580065 0.44509194561577586 0.1557396236446253 -0.07695783404659011 0.02385408245497173 3.278 1.406 0.0 0.011
o-ztfg-ztfr  True F99 59845.10489744968 0.1525661269063235 7.797294120975366 0.026412051911564486 0.4398640139638993 0.13983196622394983 -0.13737045320001123 0.022315368142279347 0.435 0.428 1.0 1.0
o-ztfr  True F99 59844.89843152971 0.19449520522136918 7.575289390605364 0.3196665311985013 0.26660882270822706 0.1694737242478098 -0.28891270763880905 0.23114559010834587 0.48 0.471 1.0 1.0
ztfg  True F99 59845.3427637229 0.40531593991137826 7.747102110233765 0.09905939958028898 1.0110432301985557 0.616175953007344 -0.6135805819784843 0.9435973281649324 0.075 0.074 1.0 1.0
ztfg-ztfr  True F19 59845.116484484824 0.2814400681056208 6.852619406512402 0.029799349314783112 0.528860697342434 0.2071868260040827 -0.06822498221402559 0.029057422611459025 5.47 2.16 0.0 0.0
ztfg-ztfr  True F99 59845.243793159985 0.258855792775404 7.806459427939199 0.02724271611739425 0.5246468900541674 0.18872830365054574 -0.13471828652617804 0.02671847786819519 0.212 0.206 1.0 1.0
ztfr  True F99 59844.82704070247 0.5897072169200155 5.424872344350636 3.0637486776792247 0.5944503467725823 0.3206920399015699 -1.970603304707423 2.4483334507068286 0.267 0.259 0.996 0.996
