bps_used variant success reddening_law calibration DM e_DM st e_st Tmax e_Tmax dm15 e_dm15 EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 36.25368411399459 0.08664639314723208 0.9169236293203455 0.03381297925779147 59857.95958469548 0.3587299835872895 None None 0.02375259209569631 0.06482349943849618 0.54 0.524 0.996 0.997
c-o  True F19 6 36.25628675393766 0.08534851386611164 0.9168440304621461 0.03380871501465026 59857.9615588298 0.3586981498703117 None None -0.0221067412442682 0.06474875461245151 0.539 0.524 0.996 0.997
c-o-ztfg  True F19 6 36.199772426046394 0.08116702654398165 0.8923603118774551 0.0318571241230586 59857.81120287483 0.3528553358422912 None None -0.0037620658898701556 0.061424655786816176 0.759 0.726 0.937 0.963
c-o-ztfg-ztfr  True O94 0 36.1491921649181 0.08344523432502662 0.8930580088699107 0.03160244454678775 59857.905773645245 0.35176067905253305 None None 0.06170216532391444 0.06156008075763012 0.786 0.747 0.949 0.975
c-o-ztfg-ztfr  True F19 6 36.161163491440426 0.08093496752408258 0.8967145165727687 0.03126536828248224 59857.859452072196 0.3493671423295644 None None 0.01869341470434342 0.061099073518462825 0.737 0.7 0.98 0.992
c-o-ztfr  True F19 6 36.214701894572016 0.08408940465243818 0.9145976567608716 0.03166325675904026 59858.02524775189 0.3507158611684172 None None -0.007008439185452924 0.06355583803725103 0.593 0.571 0.998 0.999
c-ztfg-ztfr  True F19 6 36.074573796270485 0.08228175388848334 0.8872191439295539 0.03152331516337937 59857.75957445247 0.35152196313630535 None None 0.05277685256555095 0.061410426279026056 0.628 0.59 0.992 0.997
J-c-o 1D3 True O94 0 36.25026795226196 0.08643236852348836 0.9166806613441789 0.03362884126464653 59857.94001787647 0.35789781555058703 None None 0.020397633813093955 0.06459171473740094 0.524 0.509 0.997 0.998
J-c-o 1D3 True F19 6 36.25237957887824 0.0843088957288405 0.9165012199459572 0.03283985619446956 59857.94283719484 0.3538946678737184 None None -0.025645864068276108 0.06352794656852369 0.523 0.508 0.997 0.998
J-c-o-ztfg 1D3 True F19 6 36.19841397491843 0.08102568284371797 0.8939211826233208 0.03177000532037125 59857.78807795084 0.3522419457729182 None None -0.002826853414665173 0.06135856129551203 0.723 0.692 0.965 0.98
