bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 58977.588240531244 10.4789552581484 36.74928353501289 0.587031623214167 2.0259156165950856 0.2897555421787475 -0.21279543171778212 0.3490885785900368 8.343 8.269 0.0 0.0
c-o  True F19 6 58988.9094585803 2.5316411704175383 37.88944746898232 0.14253162552857745 1.750019630636439 0.10199036378637813 0.39411707527698275 0.09951853358832367 0.239 0.239 0.999 0.999
c-o-ztfg-ztfr  True O94 0 58978.46723566001 2.2210738053149353 37.44395118191845 0.19830485045688984 1.995254208060279 0.058964117397630335 -0.6479353317254933 0.16806363575560354 2.747 2.73 0.0 0.0
J-c-o 1D3 True O94 0 58975.59756624979 2.298726760784121 36.78470671350429 0.2754200755981465 1.7115499801692962 0.10339541779201494 0.4392223338096549 0.30239889864369285 26.281 8.833 0.0 0.0
J-c-o 1D3 False F19 6 None None None None None None None None None None None None
J-c-o dehvils True O94 0 58977.589097799646 2.0161519455072057 36.86115721189589 0.21068870410617338 1.6451197380010192 0.09077501367071228 0.37913496718956347 0.23640514112904237 17.149 8.037 0.0 0.0
J-c-o dehvils True F19 6 59003.630020236145 0.9938982583576053 36.65590048894492 0.2351799733453892 1.1738604831138764 0.06568457061894749 1.3627373857603073 0.12964873508575492 14.087 7.067 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 0 58973.6127276153 1.9981617681448216 37.04017872927138 0.1970505964162781 1.8853220301483122 0.07070927076293429 -0.0900156775951053 0.22997166922761694 12.55 6.09 0.0 0.0
J-c-o-ztfg-ztfr dehvils True O94 0 58969.660199598744 4.322646325311738 35.127402988729315 0.43053841908802004 1.7660838198021493 0.17482835439941394 1.6958031764671277 0.4558760764995129 195.767 15.135 0.0 0.0
J-ztfg-ztfr 1D3 True O94 0 58963.86436696081 2.3481103733207496 38.298845705938035 0.46858382292658096 2.266612973225727 0.052519807305530686 -2.1630920881816253 0.23174946745033378 6.177 1.731 0.0 0.002
J-ztfg-ztfr dehvils True O94 0 58964.46940711433 2.3062324614470815 38.326268627059456 0.4622973361099248 2.2475061585389415 0.053293113137118334 -2.1178645446305526 0.23156297810322093 3.603 1.751 0.0 0.002
ztfg-ztfr  True O94 0 58980.58801804145 2.345966655809614 38.18453790459078 0.36187375001715966 2.1285283962703585 0.07196595615066845 -1.521006428458612 0.23299202718066273 1.01 1.003 0.452 0.465
