bps_used variant success reddening_law Jmax e_Jmax st e_st rmax e_rmax Vmax e_Vmax Tmax e_Tmax Bmax e_Bmax rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True F19 None None 1.0127129058769015 0.09530456862520201 19.363597621159954 0.07402225427629633 19.290835002501733 0.06044138517376433 58988.45625952317 1.0441281426709295 None None 0.451 0.45 0.987 0.987
c-o  True O94 None None 1.0127063163180219 0.10098462962689471 19.363675790913394 0.07848561087452866 19.290972061580323 0.06404579801488589 58988.45600907118 1.10594453803113 None None 0.451 0.45 0.987 0.987
c-o-ztfg-ztfr  True O94 None None 0.9496692429268572 0.04965234997813164 19.43393524811794 0.037201233135620175 19.11769220147132 0.06493348758787561 58988.96418775378 0.4510978583316018 19.49306922020459 0.03857769790296651 0.68 0.677 0.971 0.972
J-c-o 1D3 True F19 18.162513672605037 0.1446207899267781 1.5641115974407727 0.17218236199918635 19.603569508992802 0.13573474959099083 19.177733531915734 0.1073925594366621 58977.520627623235 2.565358723944774 None None 7.03 3.209 0.0 0.0
J-c-o 1D3 True O94 18.15006982800374 0.15637911054852804 1.5056059812775007 0.19430219821450095 19.6236939359177 0.14712836947241603 19.175405432064338 0.11962581520153928 58977.52179942283 2.8235631648540522 None None 6.715 3.241 0.0 0.0
J-c-o dehvils True F19 18.260366464571113 0.21174257772588523 1.6041883453217227 0.17865535563014648 19.589656117881507 0.1285228229427932 19.215494773409823 0.10988333414678492 58977.52036726151 3.313926534564158 None None 3.336 2.94 0.0 0.0
J-c-o dehvils True O94 18.260525269875384 0.2175499573212782 1.6041928772885723 0.18521414671028574 19.589757399547217 0.13323005706624708 19.215637495256008 0.11390769215585315 58977.521136580974 3.420478415572513 None None 3.336 2.94 0.0 0.0
J-c-o-ztfg-ztfr 1D3 True O94 18.7397276451682 0.10157632511704795 1.2758000766110746 0.09932861741058407 19.534750537638715 0.06550697582199595 19.093793522625496 0.1325732248025996 58987.14941056471 1.0997907958565547 19.646307888098942 0.07060871579643943 6.875 3.458 0.0 0.0
J-c-o-ztfg-ztfr dehvils True O94 19.074435480980505 0.09165131131002535 1.0798252509084223 0.08562600963327784 19.48940342519461 0.05167891110747588 19.108231734451316 0.09206041601057717 58989.02712235326 0.6223027287723071 19.59012980996845 0.0489409363549085 1.607 1.535 0.002 0.005
J-ztfg-ztfr 1D3 True O94 18.144923446313747 0.14628972382341357 1.9543548536490007 0.2050658235731962 19.593300278091004 0.10018982938607496 None None 58974.41176701277 3.5185531415052584 19.28011705970254 0.14371100459116165 6.115 3.662 0.0 0.0
J-ztfg-ztfr dehvils True O94 19.092901979807472 0.10957364284242285 1.0910770848862748 0.10542227855204302 19.480208368416744 0.062576958278937 None None 58988.72740157412 0.738910169529088 19.40637298247378 0.057572321178927514 2.355 2.223 0.0 0.0
ztfg-ztfr  True O94 None None 0.9358465673866349 0.04932844279748116 19.434547031244108 0.03712882193391345 None None 58989.17915929704 0.4388075700543254 19.350683824873766 0.03732807547601084 0.624 0.621 0.955 0.956
