bps_used variant success reddening_law calibration Tmax e_Tmax DM e_DM st e_st EBVhost e_EBVhost rchi2_data rchi2_data_model fitprob_data fitprob_data_model
c-o  True O94 0 58993.58674450106 0.6377919735717041 38.14836134918843 0.19884794594099062 0.8721318409479835 0.08323413787156485 -0.04768371008101418 0.099906306313791 0.309 0.309 0.998 0.998
c-o  True F19 6 58993.58774210116 0.6377702264328144 38.1522188672518 0.1901891121070792 0.8722796493665881 0.08324755984818642 -0.1072666467138077 0.10159940560066412 0.309 0.309 0.998 0.998
c-o-ztfg-ztfr  True O94 0 58992.73336981899 0.5687388251605653 38.13611903853252 0.1227304311351713 0.9150260538447456 0.052096810607106185 0.06628255370290353 0.08197557243231092 0.498 0.497 0.995 0.996
J-c-o 1D3 True O94 0 58993.04054078494 0.6367610490655458 38.2400263967953 0.1164749733723778 0.9072665164078634 0.04638879754274645 -0.06575852753622664 0.07273525647692063 0.486 0.457 0.988 0.993
J-c-o 1D3 True F19 6 58993.02874736173 0.637313722841972 38.23383827503777 0.09524922474558432 0.9077936350650602 0.04634973246031183 -0.12924829841936145 0.07246560396260175 0.488 0.459 0.988 0.993
J-c-o dehvils True O94 0 58992.88811983822 0.6326861304054365 38.09200645345412 0.117573137946527 0.9535475007149673 0.05299131917615 0.04914017105493036 0.07278765260341458 0.346 0.34 0.999 0.999
J-c-o dehvils True F19 6 58992.91927887093 0.6307404390780759 38.09748690513655 0.10857551746695977 0.9463276791048105 0.052105482688970056 -0.01626022694253454 0.0731792229552927 0.35 0.344 0.999 0.999
J-c-o-ztfg-ztfr 1D3 True O94 0 58992.56423625184 0.5090990284688247 38.17806762987372 0.09243845586414078 0.9168081024285737 0.042872446849693185 0.04505716834899149 0.06670261831312796 0.552 0.535 0.994 0.996
J-c-o-ztfg-ztfr dehvils True O94 0 58992.7052026289 0.534213926903063 38.06982107187619 0.10803529854888824 0.9471768783377116 0.047655081047322835 0.12964402563040225 0.06921022279976217 0.502 0.497 0.998 0.998
J-ztfg-ztfr 1D3 True O94 0 58992.407518437474 0.5398532596312661 38.16715646848617 0.09554404082882784 0.9211238953370315 0.0432298373468864 0.06585123057057704 0.06733368602750062 0.509 0.473 0.972 0.982
J-ztfg-ztfr dehvils True O94 0 58992.52848578077 0.4916652015998583 38.039195097517 0.10536914329884929 0.9690724550730937 0.0427398440742371 0.17527384332140689 0.06557340128550751 0.267 0.261 1.0 1.0
ztfg-ztfr  True O94 0 58993.023059787345 0.5329090789095207 38.020156668597814 0.11955052013540753 0.93251627417451 0.047487677353952644 0.16558427228824443 0.0791327011712942 0.249 0.248 0.998 0.998
